filename,config_name,temperature,top_p,top_k,信息准确性,信息召回,信息冗余,信息质量,总分,分析
219990134-王彤-本科毕业设计（论文）开题报告.docx,低温度高精确,0.1,0.9,40,1.0,0.6,1.0,0.0,2.6,信息准确性：摘要中提到的本地大语言模型部署、Flask框架、文档格式支持、摘要生成、智能检索、可视化分析、提示工程、数据库设计等关键事实均与原文一致，准确率100%。信息召回：原文包含10个关键信息点（如课题来源、国内外研究现状、发展趋势、进度计划、工作条件等），摘要仅覆盖6个（如系统功能、技术路线），召回率60%。信息冗余：摘要未添加原文外内容。信息质量：存在重复表达（如系统功能在‘研究方法’和‘预期成果’中重复描述），且结构连贯性不足（如‘总结’部分未体现原文的中期检查、论文撰写等进度安排）。
219990134-王彤-本科毕业设计（论文）开题报告.docx,中温度均衡,0.5,0.8,30,0.8,0.5,1.0,0.0,2.3,信息准确性分析：摘要中关键事实点包括系统功能、提示工程设计、本地大模型部署、数据模型设计、参考文献引用等。其中参考文献第7条将《中文信息学报》错误写成《计算机应用研究》，且未完整覆盖原文研究方法细节（如功能分析法、文献研究法、原型设计法），导致准确率80%。信息召回分析：原文关键信息点包括课题任务、重点内容5项、研究方法3项、实现途径4项、进度计划10阶段、国内研究现状6篇文献、发展趋势6方向等共至少30项，摘要仅覆盖约15项，召回率50%。信息冗余检查：摘要未添加原文未提及的新内容，符合要求。信息质量分析：存在大量重复符号（如---）、冗余段落（结束语、声明、联系方式等），结构混乱且多次出现无关内容，严重影响可读性。
219990134-王彤-本科毕业设计（论文）开题报告.docx,高温度创意,0.8,0.6,20,0.8,0.5,0.0,0.0,1.3,信息准确性分析：摘要中包含的关键事实点包括本地大语言模型部署（正确）、提示工程技术应用（正确）、材料科学领域应用（原文仅作为示例未强调）、Flask框架使用（正确）、MySQL数据库（正确）、Navicat Premium（正确）、性能领先结论（原文无数据支持）、用户反馈良好（原文无具体内容）。8个事实点中2个存在偏差，准确率80%。信息召回分析：原文关键信息点包括课题名称、社会实践来源、选题依据的4个维度、国内外研究现状的6个要点、发展趋势的6个方向、系统功能的5项任务、技术实现的4个模块、进度安排的10个阶段等共30+核心点，摘要仅覆盖约15个，召回率约50%。信息冗余分析：摘要中'材料科学领域实现快速数据解析'（原文仅作为应用案例之一）、'行业领先水平'（无数据支撑）、'用户反馈表明界面友好'（原文无用户测试内容）属于冗余信息。信息质量分析：存在标点缺失（如章节标题后缺少冒号）、参考文献格式不统一（中文期刊卷号缺失）、'提示工程设计'与'模型部署'内容重复表述等问题。
219990134-王彤-本科毕业设计（论文）开题报告.docx,低温完整采样,0.3,1.0,50,0.8,0.7,0.0,1.0,2.5,信息准确性分析：摘要中列出的6个关键事实点（Ollama部署、提示工程、文档摘要功能、主题可视化、Flask框架、用户体验提升）中，'few-shot learning方法显著提高性能'在原文未明确提及，准确率为5/6≈0.8。信息召回分析：原文10个关键点（课题名称、来源、选题依据、国内外研究现状、发展趋势、研究目的、系统功能、实现途径、进度计划、工作条件）中，摘要仅覆盖7个（课题名称、实现途径、系统功能、研究目的、发展趋势中的多模态扩展、提示工程、Flask框架），召回率70%。信息冗余分析：摘要添加了原文未明确提及的'few-shot learning'概念，存在冗余。信息质量分析：无标点错误或重复表达，结构清晰连贯。
219990134-王彤-本科毕业设计（论文）开题报告.docx,高温缩小范围,0.7,0.7,10,0.8,0.4,0.0,1.0,2.2,信息准确性分析：摘要中5个关键事实点中有1处错误（将课题核心从文档摘要助手偏向材料信息抽取，而原文仅在参考文献提及该领域），准确率80%。信息召回分析：原文13个关键信息点仅覆盖4个（系统功能、技术方法部分、目的），召回率40%。信息冗余分析：摘要添加了原文未提及的'材料信息抽取'核心定位和'实验结果验证'内容。信息质量分析：无标点错误、重复表达，结构连贯。
ds老师的回答.pdf,低温度高精确,0.1,0.9,40,1.0,0.5,1.0,0.0,2.5,信息准确性：摘要中所有事实点（如试用品解决方案、跨部门协作手册、柔性生产线等）均与原文一致，准确率100%。信息召回：原文关键信息点包括6个核心问题（跨部门沟通、生产运营、目标分歧、管理层滞后、市场风险、文化冲突）及5类解决方案（短期行动至长期布局），摘要仅覆盖解决方案部分中的8/10措施，未提及原文问题部分的6个核心信息点，召回率约53%。信息冗余：无添加原文未提及内容。信息质量：存在重复表达（如风险预案重复紧急措施），且未体现原文问题分析部分的逻辑结构，导致信息完整性缺失。
ds老师的回答.pdf,中温度均衡,0.5,0.8,30,1.0,0.8,1.0,0.0,2.8,信息准确性：摘要中列出的5个关键事实点（如紧急调拨试用品、制定协作手册、柔性生产线、联合KPI、跨部门轮岗）均与原文一致，准确率100%。信息召回：原文解决方案部分包含10个关键信息点（如与鲍鹏沟通、量化考核指标、AI预测模型等），摘要遗漏了‘与鲍鹏沟通的具体策略’和‘量化考核指标’，召回率80%。信息冗余：摘要未添加原文外内容。信息质量：存在重复（如‘紧急试用品解决方案’在‘紧急应对’和‘风险预案’中重复出现），且未明确提及‘AI预测模型’等细节，导致结构不完整。
ds老师的回答.pdf,高温度创意,0.8,0.6,20,1.0,0.5,1.0,0.0,2.5,信息准确性：摘要中列出的10个关键事实点（如试用品解决方案、柔性生产线、联合KPI等）均与原文一致，准确率为100%。信息召回：原文包含至少14个关键信息点（问题部分8个+解决方案6个），摘要仅覆盖了解决方案中的8个，问题部分未提及，召回率≈57%。信息冗余：摘要未添加原文外的内容，重复内容属于结构问题而非冗余。信息质量：存在两处重复内容（风险预案与紧急应对重复），且结构连贯性因重复受损。
ds老师的回答.pdf,低温完整采样,0.3,1.0,50,1.0,0.5,1.0,1.0,3.5,信息准确性：摘要中列出的10个关键事实点均与原文一致，准确率100%。信息召回：原文包含13个关键信息点（如跨部门沟通失效、生产执行失误、仓储混乱、目标分歧、管理层滞后、市场风险、文化冲突、短期行动、中期策略、长期布局、风险预案、会议谈判、行动优先级），摘要仅覆盖7个（风险预案、会议谈判、长期布局、行动优先级等），召回率约53.8%。信息冗余：摘要未添加原文外内容。信息质量：无标点错误、无重复表达，结构清晰连贯。
ds老师的回答.pdf,高温缩小范围,0.7,0.7,10,1.0,0.5,1.0,0.0,2.5,信息准确性：摘要中列出的5个关键事实点（试用品调拨、质检员派驻、协作手册、柔性生产线、联合KPI）均与原文一致。信息召回：原文12个关键信息点（跨部门沟通失效、生产质量不达标、仓储混乱、管理层滞后、销售预测困难、品牌受损、文化冲突、权责不清、周倩短期行动、中期策略、长期变革、风险预案）中，摘要仅覆盖了中期策略和风险预案的6个措施，召回率50%。信息冗余：所有内容均来自原文，无新增信息。信息质量：存在重复（第1/9点均为试用品方案，第2/10点均为质检员派驻），且结构上将风险预案与紧急措施重复归类，影响可读性。
